tourney_id,tourney_name,surface,tourney_level,tourney_date,round,player,opponent,score,best_of,target,winner_name,loser_name,elo_winner,elo_loser,elo_diff,surface_elo_winner,surface_elo_loser,surface_elo_diff,h2h_count,h2h_balance,elo_advantage,surface_elo_advantage,elo_surface_interaction,elo_consistency,rank_diff,rank_advantage,rank_ratio,elo_rank_mismatch,elo_tier_winner,elo_tier_loser,tier_diff,match_competitiveness,is_upset_potential
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Jack Draper,Aleksandar Vukic,3-2,5,1,Jack Draper,Aleksandar Vukic,1886.211605739346,1685.9390418448165,200.2725638945294,1827.0003003752659,1612.6815893905791,214.31871098468673,1.0986122886681098,1.0986122886681098,2,2,4.292215773947386,14.04614709015732,0,0,1,0,3,2,1,0.333030759464008,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Aleksandar Vukic,Jack Draper,3-2,5,0,Jack Draper,Aleksandar Vukic,1893.8905432558815,1678.260104328281,215.6304389276006,1834.2173054475982,1605.4645843182468,228.75272112935136,1.3862943611198906,1.3862943611198906,2,2,4.932604966300505,13.12228220175075,0,0,1,0,3,2,1,0.3168262235409368,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Jiri Lehecka,Benjamin Bonzi,3-0,5,1,Jiri Lehecka,Benjamin Bonzi,1786.2519522737377,1620.206907892306,166.0450443814318,1718.1023284295015,1614.9603514199027,103.1419770095988,1.0986122886681098,1.0986122886681098,1,1,1.7126214150147454,62.903067371833004,0,0,1,0,2,2,0,0.3758761988313109,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Benjamin Bonzi,Jiri Lehecka,3-0,5,0,Jiri Lehecka,Benjamin Bonzi,1795.1387827200497,1611.320077445994,183.81870527405567,1729.4872500966767,1603.5754297527276,125.9118203439491,1.3862943611198906,1.3862943611198906,1,1,2.314494779432423,57.90688493010657,0,0,1,0,2,2,0,0.35233759488628447,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Novak Djokovic,Tomas Machac,3-0,5,1,Novak Djokovic,Tomas Machac,2113.978745042527,1792.459223682486,321.5195213600409,2109.1743107477296,1752.1780375841167,356.99627316361284,1.6094379124341003,1.6094379124341003,2,2,11.478127087488323,35.476751803571915,0,0,1,0,4,2,2,0.23723693668409007,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Tomas Machac,Novak Djokovic,3-0,5,0,Novak Djokovic,Tomas Machac,2118.3236160297574,1788.1143526952555,330.2092633345019,2112.8077358884966,1748.5446124433497,364.2631234451469,1.791759469228055,1.791759469228055,2,2,12.028305765274668,34.05386011064502,0,0,1,0,4,2,2,0.2324450180940123,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Ugo Humbert,Arthur Fils,2-1,5,1,Ugo Humbert,Arthur Fils,1841.344552833904,1758.8768671498733,82.46768568403058,1849.1481782041724,1690.4686164167945,158.6795617873779,1.9459101490553132,1.9459101490553132,1,1,1.3085936225961192,76.21187610334732,0,0,1,0,3,2,1,0.5480422444397337,0
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Arthur Fils,Ugo Humbert,2-1,5,0,Ugo Humbert,Arthur Fils,1853.6165266757196,1746.6048933080576,107.01163336766194,1858.3097096142972,1681.3070850066697,177.00262460762747,2.0794415416798357,2.0794415416798357,1,1,1.8941339969625328,69.99099123996552,0,0,1,0,3,2,1,0.48306463928235144,0
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Alejandro Davidovich Fokina,Jakub Mensik,3-2,5,1,Alejandro Davidovich Fokina,Jakub Mensik,1685.8922064496096,1706.983319576844,-21.091113127234394,1677.4665084239944,1676.0422887435734,1.424219680420947,1.6094379124341003,1.6094379124341003,0,0,-0.003003837839779181,22.51533280765534,0,0,1,0,2,2,0,0.8258244343243152,0
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Jakub Mensik,Alejandro Davidovich Fokina,3-2,5,0,Alejandro Davidovich Fokina,Jakub Mensik,1702.8622967661836,1690.01322926027,12.849067505913581,1693.4009210512588,1660.107876116309,33.293044934949876,1.791759469228055,1.791759469228055,0,0,0.042778458184658516,20.443977429036295,0,0,1,0,2,2,0,0.8861393559566607,0
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Alexander Zverev,Jacob Fearnley,3-0,5,1,Alexander Zverev,Jacob Fearnley,2028.5843112667449,1534.0212719835463,494.5630392831986,1985.4503668730974,1527.852350555401,457.5980163176964,1.0986122886681098,1.0986122886681098,2,2,22.631106572004263,36.96502296550216,0,0,1,0,4,1,3,0.16819074411446658,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Jacob Fearnley,Alexander Zverev,3-0,5,0,Alexander Zverev,Jacob Fearnley,2030.3391923716315,1532.2663908786596,498.07280149297185,1987.5935001913253,1525.709217237173,461.88428295415224,1.3862943611198906,1.3862943611198906,2,2,23.00519987765471,36.18851853881961,0,0,1,0,4,1,3,0.16720372461407632,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Carlos Alcaraz,Nuno Borges,3-1,5,1,Carlos Alcaraz,Nuno Borges,2049.1788398389735,1648.5133240814125,400.665515757561,1978.2212287522143,1593.8275130840293,384.393715668185,1.3862943611198906,1.3862943611198906,2,2,15.401330634215862,16.27180008937603,0,0,1,0,4,2,2,0.1997341475549583,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Nuno Borges,Carlos Alcaraz,3-1,5,0,Carlos Alcaraz,Nuno Borges,2052.077814999884,1645.6143489205017,406.46346607938244,1981.3767977924945,1590.6719440437491,390.70485374874534,1.6094379124341003,1.6094379124341003,2,2,15.880724906875324,15.758612330637106,0,0,1,0,4,2,2,0.19744760816434906,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Tommy Paul,Roberto Carballes Baena,3-0,5,1,Tommy Paul,Roberto Carballes Baena,1864.9654793220343,1658.5464416815962,206.4190376404381,1795.3455947109833,1562.8144393981831,232.53115531280014,1.3862943611198906,1.3862943611198906,2,2,4.799885730108745,26.112117672362047,0,0,1,0,3,2,1,0.32635047995073724,1
2025-01-580,Australian Open,Hard,G,2025-01-17,R32,Roberto Carballes Baena,Tommy Paul,3-0,5,0,Tommy Paul,Roberto Carballes Baena,1872.4398227470542,1651.0720982565763,221.36772449047794,1801.9935137864804,1556.166520322686,245.82699346379445,1.6094379124341003,1.6094379124341003,2,2,5.441816216141577,24.45926897331651,0,0,1,0,3,2,1,0.31117001608841705,1
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Holger Rune,Miomir Kecmanovic,3-2,5,1,Holger Rune,Miomir Kecmanovic,1892.8778802584427,1665.1215773711754,227.75630288726734,1845.4549482944224,1624.169289853177,221.28565844124546,1.6094379124341003,1.6094379124341003,2,2,5.039920344855269,6.470644446021879,0,0,1,0,3,2,1,0.3051047351922177,1
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Miomir Kecmanovic,Holger Rune,3-2,5,0,Holger Rune,Miomir Kecmanovic,1899.6717278583774,1658.3277297712407,241.3439980871367,1852.4502628680173,1617.173975279582,235.27628758843525,1.791759469228055,1.791759469228055,2,2,5.678251990169194,6.0677104987014445,0,0,1,0,3,2,1,0.292959596654377,1
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Jannik Sinner,Marcos Giron,3-0,5,1,Jannik Sinner,Marcos Giron,2241.566504593017,1713.9800799997618,527.5864245932551,2231.9905067501554,1673.2890758276997,558.7014309224558,1.3862943611198906,1.3862943611198906,2,2,29.47632903555139,31.115006329200696,0,0,1,0,4,2,2,0.1593406040686922,1
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Marcos Giron,Jannik Sinner,3-0,5,0,Jannik Sinner,Marcos Giron,2243.0314860466033,1712.5150985461753,530.516387500428,2233.224513029811,1672.0550695480442,561.1694434817668,1.6094379124341003,1.6094379124341003,2,2,29.770958593157253,30.653055981338866,0,0,1,0,4,2,2,0.15860016009485894,1
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Ben Shelton,Lorenzo Musetti,3-1,5,1,Ben Shelton,Lorenzo Musetti,1836.7062122865473,1795.5106669732072,41.19554531334006,1807.4549985756696,1650.8616858539772,156.59331272169243,1.6094379124341003,1.6094379124341003,0,1,0.6450946909992511,115.39776740835237,0,0,1,0,3,2,1,0.7082376414785663,0
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Lorenzo Musetti,Ben Shelton,3-1,5,0,Ben Shelton,Lorenzo Musetti,1850.8179281108366,1781.3989511489178,69.41897696191882,1816.6952559009605,1641.6214285286862,175.0738273722743,1.791759469228055,1.791759469228055,1,1,1.215344598899086,105.6548504103555,0,0,1,0,3,2,1,0.5902526493385538,0
2025-01-580,Australian Open,Hard,G,2025-01-18,R32,Learner Tien,Corentin Moutet,3-0,5,1,Learner Tien,Corentin Moutet,1607.0736293813502,1602.2670042288978,4.806625152452398,1592.4207171871858,1546.934350843257,45.486366343928694,1.0986122886681098,1.0986122886681098,0,0,0.021863591256239188,40.679741191476296,0,0,1,0,2,2,0,0.9541381554318665,0
