Feature,Importance,Normalized,Cumulative
fatigue_pca1,0.3753072,0.37530714,0.37530714
fatigue_raw_pca1,0.20144169,0.20144166,0.5767488
elo_core_pca1,0.07758043,0.07758042,0.6543292
ranking_pca1,0.020595333,0.02059533,0.6749245
fatigue_raw_pca3,0.020232001,0.020232,0.6951565
ranking_pca2,0.019093981,0.01909398,0.7142505
elo_core_pca2,0.018270772,0.01827077,0.7325213
fatigue_raw_pca4,0.016727932,0.01672793,0.7492492
ranking_pca3,0.016327254,0.016327253,0.7655765
match_competitiveness,0.015831597,0.015831595,0.7814081
recent_form_pca2,0.013987515,0.013987513,0.7953956
recent_form_pca1,0.013037475,0.013037473,0.80843306
fatigue_individual_pca1,0.012685778,0.012685776,0.82111883
fatigue_pca2,0.011540753,0.011540752,0.8326596
fatigue_individual_pca7,0.01075338,0.010753379,0.843413
fatigue_raw_pca2,0.010563379,0.010563378,0.85397637
fatigue_individual_pca5,0.010542335,0.010542334,0.8645187
breakpoints_pca1,0.0101115005,0.0101115,0.8746302
fatigue_individual_pca6,0.009438595,0.009438594,0.8840688
recent_form_pca3,0.009345877,0.009345876,0.8934147
h2h_pca2,0.009100403,0.009100402,0.90251505
fatigue_individual_pca4,0.00851349,0.008513489,0.91102856
breakpoints_pca2,0.0074374387,0.007437438,0.918466
ace_df_pca3,0.00708634,0.007086339,0.9255523
serve_pca2,0.0064942036,0.0064942027,0.93204653
serve_pca3,0.0064756637,0.006475663,0.9385222
serve_pca4,0.006453311,0.00645331,0.94497555
fatigue_individual_pca3,0.006380229,0.006380228,0.95135576
ace_df_pca1,0.0063608508,0.00636085,0.9577166
elo_core_pca4,0.006321337,0.006321336,0.9640379
serve_pca1,0.006156083,0.0061560823,0.970194
h2h_pca1,0.0060580736,0.0060580727,0.9762521
ace_df_pca4,0.0060380166,0.0060380157,0.9822901
ace_df_pca2,0.0060272794,0.0060272785,0.9883174
elo_core_pca3,0.005910041,0.00591004,0.9942274
h2h_pca3,0.005772523,0.0057725227,0.99999994
